127.0.0.1 - - [12/Aug/2024:13:43:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:43:19 +0900] "GET /CSS/04_cssBoxModel/exam01.html HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:43:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:44:40 +0900] "GET /CSS/04_cssBoxModel/exam01.html HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:46:38 +0900] "GET /CSS/04_cssBoxModel/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:46:39 +0900] "GET /CSS/04_cssBoxModel/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:46:43 +0900] "GET /CSS/04_cssBoxModel/exam01.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:47:31 +0900] "GET /CSS/04_cssBoxModel/exam01.html HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:54:01 +0900] "GET /CSS/04_cssBoxModel/exam02.html HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:54:01 +0900] "GET /CSS/image/img1.gif HTTP/1.1" 200 85664
0:0:0:0:0:0:0:1 - - [12/Aug/2024:13:55:33 +0900] "GET /CSS/04_cssBoxModel/exam02.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:00:40 +0900] "GET /CSS/04_cssBoxModel/ HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:00:51 +0900] "GET /CSS/04_cssBoxModel/ HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:01:36 +0900] "GET /CSS/04_cssBoxModel/ HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:01:48 +0900] "GET /CSS/04_cssBoxModel/exam02.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:02:05 +0900] "GET /CSS/04_cssBoxModel/exam03.html HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:08:14 +0900] "GET /CSS/04_cssBoxModel/exam04.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:11:31 +0900] "GET /CSS/04_cssBoxModel/exam04.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:11:57 +0900] "GET /CSS/04_cssBoxModel/exam04.html HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:19:15 +0900] "GET /CSS/04_cssBoxModel/exam04.html HTTP/1.1" 200 936
